offer_accepted,reward,mailer_type,income_level,#_bank_accounts_open,overdraft_protection,credit_rating,#_credit_cards_held,#_homes_owned,household_size,own_your_home,average_balance
No,Air Miles,Letter,High,1,No,High,2,1,4,No,7.057682767965088
No,Air Miles,Letter,Medium,more than 1,No,High,1,1,4,No,7.106606137727303
No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,7.10002716662926
No,Air Miles,Letter,Medium,1,No,High,more than 2,1,4,No,7.01728210350938
No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,6.913737350659685
No,Air Miles,Letter,High,more than 1,No,Low,more than 2,more than 1,4,Yes,6.882693848386766
No,Air Miles,Postcard,Medium,1,No,Medium,more than 2,1,2,Yes,7.0354886454916885
No,Cash Back,Postcard,High,1,No,Medium,more than 2,more than 1,5,Yes,7.108244139731541
No,Points,Letter,Medium,1,No,Low,1,1,2,Yes,7.04882071926074
No,Points,Letter,Low,1,No,High,1,1,3,No,6.9596359008591255
No,Air Miles,Letter,Low,more than 1,No,High,more than 2,1,3,Yes,6.9219047020865565
No,Cash Back,Letter,High,1,No,Low,2,1,2,No,6.920918265508418
No,Points,Postcard,Low,more than 1,No,Medium,1,1,4,Yes,7.1049654482698426
No,Air Miles,Postcard,Low,more than 1,No,High,2,1,4,Yes,7.078552349924138
No,Points,Postcard,Medium,1,No,Low,1,1,4,No,6.966731484082434
No,Cash Back,Letter,Medium,1,No,High,2,1,5,Yes,6.991866621600789
No,Points,Postcard,Low,1,No,High,2,1,4,Yes,7.070086690899589
No,Points,Letter,Medium,1,No,Low,2,more than 1,3,Yes,6.700423559184014
No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,7.470224135899966
No,Air Miles,Postcard,High,1,No,High,more than 2,1,5,No,6.537415972849347
No,Cash Back,Letter,Low,1,No,Low,2,1,4,Yes,6.926822341699363
No,Cash Back,Postcard,Medium,1,Yes,High,more than 2,more than 1,5,Yes,7.031078495014136
No,Air Miles,Postcard,Low,more than 1,No,Low,more than 2,more than 1,1,Yes,6.777646593635117
Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,6.64703965476017
No,Cash Back,Postcard,Medium,1,Yes,Low,1,1,3,Yes,6.565264970035361
No,Points,Postcard,High,1,No,Medium,1,1,1,Yes,6.53813982376767
No,Points,Letter,Medium,1,No,High,2,1,3,No,6.761862078801734
No,Cash Back,Postcard,Low,more than 1,No,Low,1,1,5,Yes,6.598509028614515
No,Points,Postcard,Low,1,No,High,2,more than 1,4,No,6.648984550024776
No,Air Miles,Postcard,Low,more than 1,No,Medium,1,1,4,Yes,6.49299712396238
No,Air Miles,Letter,Medium,1,No,Low,2,1,2,No,7.138073034044347
No,Points,Letter,High,1,No,High,2,1,4,Yes,6.7756514383488
No,Air Miles,Postcard,Medium,more than 1,No,Medium,2,more than 1,2,Yes,6.517301928494411
No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,No,7.000106540046323
No,Air Miles,Postcard,Low,1,Yes,Medium,2,1,3,Yes,6.984947774812043
No,Air Miles,Letter,Low,1,Yes,High,1,1,3,Yes,7.0217533830355485
No,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,No,6.728329525300208
No,Air Miles,Letter,High,more than 1,No,Medium,more than 2,1,3,Yes,6.952489610322308
No,Points,Postcard,Medium,1,No,Low,2,1,2,No,6.733104228492402
Yes,Air Miles,Postcard,High,1,Yes,Low,2,1,5,Yes,6.747879911018012
No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,6.948177193481053
No,Air Miles,Letter,Low,1,Yes,High,2,1,3,No,6.895682697747868
No,Air Miles,Postcard,Medium,1,No,Low,1,more than 1,3,No,6.71295620067707
No,Points,Letter,Medium,more than 1,Yes,High,1,1,5,Yes,6.4792773965649
Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,6.838137212101267
No,Cash Back,Letter,Medium,1,No,Medium,1,1,3,Yes,6.8966943316227125
No,Points,Letter,Medium,1,No,Medium,1,1,4,No,7.044469102297959
No,Points,Postcard,Medium,more than 1,No,Low,1,1,4,No,7.059187982742347
No,Air Miles,Postcard,Medium,1,No,High,2,more than 1,3,Yes,6.861973086327009
No,Points,Postcard,High,1,No,Medium,more than 2,more than 1,5,Yes,7.1718488166253005
No,Cash Back,Letter,Medium,1,No,Medium,2,1,4,Yes,7.047299806420034
Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,7.08485489179494
No,Cash Back,Postcard,Medium,1,No,High,2,more than 1,2,Yes,7.087155907348428
No,Air Miles,Postcard,Medium,1,No,High,2,1,3,Yes,7.209710010720636
No,Cash Back,Postcard,Medium,more than 1,No,High,1,1,4,No,6.969085534133743
No,Cash Back,Letter,Medium,1,No,High,2,1,2,Yes,7.045994323205903
No,Cash Back,Letter,Medium,1,No,Low,1,1,3,Yes,7.177400663947767
No,Cash Back,Letter,Medium,1,No,Low,1,more than 1,4,Yes,6.835722076082305
No,Cash Back,Postcard,Low,1,No,Low,2,1,2,No,6.577861357721047
No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,7.085273652270072
No,Air Miles,Letter,Medium,1,No,Medium,more than 2,1,2,Yes,6.865630352681466
No,Points,Postcard,Medium,more than 1,No,Low,2,1,4,No,6.957497370876951
No,Points,Postcard,Medium,more than 1,No,High,2,1,5,Yes,7.144801735465339
No,Air Miles,Postcard,Medium,1,No,High,more than 2,1,2,Yes,7.026204759181681
No,Air Miles,Letter,High,more than 1,No,High,2,more than 1,1,No,6.966731484082434
No,Cash Back,Postcard,Medium,1,No,High,1,1,1,No,6.922890166566408
No,Air Miles,Letter,Low,1,No,High,1,1,3,Yes,6.793746362370269
Yes,Cash Back,Postcard,High,1,No,Low,2,more than 1,5,Yes,7.193310090417744
No,Air Miles,Letter,Medium,1,No,Medium,more than 2,more than 1,4,No,6.931959967678955
Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,5,Yes,6.8128949979581765
No,Cash Back,Letter,High,1,No,Low,1,1,3,Yes,6.596463340891223
No,Points,Postcard,Low,1,No,Medium,2,1,2,No,6.677712985976771
No,Cash Back,Postcard,Medium,more than 1,No,Low,1,1,3,Yes,7.459626872184129
No,Cash Back,Postcard,Medium,1,No,Medium,2,1,4,Yes,6.878841268817495
No,Cash Back,Letter,High,1,No,Low,2,1,4,Yes,6.903998230104425
No,Points,Postcard,Medium,1,No,Medium,2,1,3,Yes,6.807934943699926
No,Cash Back,Postcard,High,more than 1,No,High,1,1,5,Yes,7.029530335908058
No,Air Miles,Postcard,Medium,more than 1,No,Medium,2,1,3,Yes,7.006468751918169
No,Cash Back,Postcard,Medium,1,No,High,1,1,4,Yes,6.884742504673064
No,Air Miles,Letter,Medium,more than 1,No,High,2,1,5,Yes,6.734294350620379
No,Points,Postcard,Medium,1,No,Medium,2,1,4,No,7.165493475060845
No,Cash Back,Postcard,Medium,more than 1,No,High,2,1,5,Yes,6.709913910530146
No,Air Miles,Postcard,Medium,more than 1,No,Low,2,more than 1,3,Yes,6.998966159035521
No,Points,Postcard,Low,1,Yes,Low,1,1,2,Yes,7.129497849380718
